,id,stk_code,stk_name,news_title,news_roundup,news_detail,begin_date,end_date,news_catalog,source,etldate,times_stamp,id,stk_name,日期:
752,37560,002049.SZ,紫光国微,超级大单：震荡行情下 这些股票遭特大单大幅抛售↵,【超级大单】震荡行情下，这些股票遭特大单大幅抛售　　来源：证券时报　　沪指高开低走，中国平安、金逸影视、紫光国微、浙江龙盛特大单净流出超2亿元。　　周三，沪指高开低走，收盘微跌，日K线4连阴，深成指、创业板指同样微跌收盘。市场成交低迷，两市成交不足4100亿元，处于阶段低位。北上资金全天净流入约31亿元，为连续第3日净流入，其中沪股通净流入近23亿元，深股通净流入近8亿元。　　盘面上，农业板块卷土重来，领涨概念板块，众兴菌业、万向德农、荃银高科、新赛股份等逾10股集体涨停；5G板块延续强势，国脉,【超级大单】震荡行情下，这些股票遭特大单大幅抛售　　来源：证券时报　　沪指高开低走，中国平安、金逸影视、紫光国微、浙江龙盛特大单净流出超2亿元。　　周三，沪指高开低走，收盘微跌，日K线4连阴，深成指、创业板指同样微跌收盘。市场成交低迷，两市成交不足4100亿元，处于阶段低位。北上资金全天净流入约31亿元，为连续第3日净流入，其中沪股通净流入近23亿元，深股通净流入近8亿元。　　盘面上，农业板块卷土重来，领涨概念板块，众兴菌业、万向德农、荃银高科、新赛股份等逾10股集体涨停；5G板块延续强势，国脉科技、欣天科技、汇源通信、京泉华等近10股涨停。送转填权、石油、黄金等板块亦有不俗表现。医药板块领跌，大叁林、恩华制药、一心堂等跌逾5%。　　分行业来看，28个申万一级行业涨跌互现，通信、房地产领涨，涨幅分别为2.16%、1.03%；下跌的行业中，医药生物收盘下挫2.47%跌幅居首，其余行业跌幅均不足1%。　　特大单资金动向方面，沪深两市全天特大单小幅净流出1.87亿元，共计1032股特大单净流入，1442股特大单净流出。从28个申万一级行业来看，今日有13个行业特大单资金净流入，通信特大单净流入规模居首，净流入资金11.05亿元；其次是银行、农林牧渔，净流入资金均约5亿元。　　特大单资金净流出的15个行业中，净流出资金最多的是医药生物，特大单净流出资金9.5亿元；其次是交通运输，特大单净流出资金4.4亿元；净流出资金居前的还有电子、化工等行业。　　具体到个股来看，17股特大单净流入超亿元。中兴通讯特大单净流入5.22亿元，净流入资金规模居首；北大荒（维权）特大单净流入资金2.66亿元，位列第二；净流入资金居前的还有农业银行、中信证券、富春股份等。　　股价表现方面，特大单资金净流入超亿元个股今日平均上涨5.75%，表现强于沪指。具体看，上述个股今日全线上涨，通信行业龙头中兴通讯今日大涨逾5%，最新价重新站上所有均线；富春股份、广电网络、综艺股份、明阳电路4股则以涨停收盘。　　所属行业来看，上述特大单净流入资金居前个股中，非银金融、传媒、农林牧渔行业最为集中，上榜个股有3只、2只、2只。　　特大单净流出股中，今日有13股净流出超亿元。中国平安特大单净流出资金5.1亿元，净流出资金最多；金逸影视位居第二，净流出3.83亿元，该股自上周四出现“过山车”走势以来，连续4日跌停，今日盘中短暂打开跌停，再度被封单封死跌停；紫光国微位列第三，净流出2.08亿元，已连续2天位居净流出资金规模前列；浙江龙盛紧随其后，净流出资金2.07亿元，收盘价再创调整以来新低，年内高点以来已回撤40%。　　声明：数据宝所有资讯内容不构成投资建议，股市有,6/8/19,8/20/19,6,whatever,6/8/19,6/8/19 16:55,1085,新国都,6-8
835,37643,601005.SH,重庆钢铁,债转股投放落地规模近万亿元 涉及26个行业106家企业↵,推动市场化法治化债转股促进稳增长防风险工作吹风会昨日举行　　债转股投放落地规模近万亿元 涉及26个行业106家企业　　“截至2019年4月末，债转股签约金额已经达到2.3万亿元，投放落地9095亿元。”6月5日，在国新办举行的新闻发布会上，国家发展改革委副主任连维良表示，目前已有106家企业、367个项目实施债转股。实施债转股的行业和区域覆盖面不断扩大，涉及钢铁、有色、煤炭、电力、交通运输等26个行业。　　据连维良介绍，随着各项工作的逐步深入，市场化法治化债转股工作在稳增长、促改革、防风险方面取得了积极,推动市场化法治化债转股促进稳增长防风险工作吹风会昨日举行　　债转股投放落地规模近万亿元 涉及26个行业106家企业　　“截至2019年4月末，债转股签约金额已经达到2.3万亿元，投放落地9095亿元。”6月5日，在国新办举行的新闻发布会上，国家发展改革委副主任连维良表示，目前已有106家企业、367个项目实施债转股。实施债转股的行业和区域覆盖面不断扩大，涉及钢铁、有色、煤炭、电力、交通运输等26个行业。　　据连维良介绍，随着各项工作的逐步深入，市场化法治化债转股工作在稳增长、促改革、防风险方面取得了积极成效。如在企业杠杆率方面，截至2018年年末，我国总体杠杆率为249.4%，比2017年年末降低1.5个百分点；同时，债转股工作增强了优质企业资本实力和综合竞争力。目前针对优质企业的债转股占到落地规模的一半以上；除此之外，债转股工作还推动了出险企业债务的稳妥有序处置、深化了国有企业改组改制、有力支持了民营经济发展。　　市场化法治化债转股作为降杠杆减负债的一项重要措施和有效途径，在优化企业资本结构、降低企业债务风险、减轻企业债务负担等方面，发挥着十分重要的作用。　　如果仅从中央企业角度来说，中央企业的市场化债转股工作亦取得了积极进展。　　国资委财务监管局负责人王海琳给出的数据显示，截至一季度末，中央企业资产负债率为65.7%，同比下降0.2个百分点，有56家中央企业资产负债率实现下降，特别是冶金、火电、建筑等产能过剩及高负债行业的负债率明显下降。　　据悉，目前已有中国宝武、国家电投、中船重工等19家中央企业与银行等机构签订了市场化债转股协议，签约规模超过5000亿元，落地金额超过3000亿元。　　连维良称，从效果上看，可以说都是比较成功的。如国家电力投资集团、中国船舶、中国重工、宝武钢铁等较高负债的企业，通过实施债转股，企业资产负债率明显下降，有效减轻了企业财务负担，增强了企业资本实力和竞争力；再比如东北特钢、重庆钢铁等，通过债转股引入战略投资者实施重组，发展混合所有制，使企业长期亏损的状况得到扭转。　　对于市场化法治化债转股而言，社会力量的参与意义十分重大。连维良称，下一步，将积极吸引社会力量参与市场化法治化债转股。强化依法平等保护社会资本权益。支持金融资产投资公司发起设立资管产品，支持保险资金等长期限资金投资。探索公募资管产品依法合规参与债转股。　　据《证券日报》记者了解，原银监会已于2017年批准了5家大型商业银行分别成立金融资产投资公司，专注于实施市场化法治化债转股。　　银保监会统计信息与风险监测部负责人刘志清透露，目前，金融资产投资公司共落地实施债转股项目254个，落地金额4000亿元。其中，通过私募股权投资基金、私募资管产品等渠道共募集社,6/8/19,8/20/19,6,whatever,6/8/19,6/8/19 16:55,2,新国都,6-8
836,37644,601229.SH,上海银行,央行连续三天开展逆回购 净投放4000亿元↵,记者 刘　琪　　上周，为对冲税期高峰、政府债券发行缴款等因素的影响，维护银行体系流动性合理充裕，央行于5月21日、22日以利率招标方式分别展开了800亿元和200亿元的逆回购操作。5月23日、24日，央行表示银行体系流动性总量处于合理充裕水平，不开展逆回购。　　在暂停两天逆回购后，本周一央行便开启逆回购操作，且在周二、周三连续开展逆回购，逆回购金额不断加码。具体来看，5月27日，央行以利率招标方式开展,记者 刘　琪　　上周，为对冲税期高峰、政府债券发行缴款等因素的影响，维护银行体系流动性合理充裕，央行于5月21日、22日以利率招标方式分别展开了800亿元和200亿元的逆回购操作。5月23日、24日，央行表示银行体系流动性总量处于合理充裕水平，不开展逆回购。　　在暂停两天逆回购后，本周一央行便开启逆回购操作，且在周二、周三连续开展逆回购，逆回购金额不断加码。具体来看，5月27日，央行以利率招标方式开展了800亿元7天逆回购；5月28日，央行表示为对冲逆回购到期等因素等影响，维护银行体系流动性合理充裕，以利率招标方式开展了1500亿元7天逆回购；5月29日，央行表示为维护银行体系流动性合理充裕，以利率招标方式开展了2700亿元7天逆回购。三天逆回购中标利率均为2.55%。　　与此同时，5月28日和5月29日，分别有800亿元和200亿元的7天逆回购到期，故本周以来截至周三，央行净投放达4000亿元。　　在上海银行间同业拆放利率（Shinbor）方面，5月28日继续上涨，涨幅缓慢。具体来看，隔夜Shibor上涨9.4个基点，报2.76%；7天Shibor上涨11.2个基点，报2.823%；14天Shibor上涨15.2个基点，报2.955%。5月29日，隔夜Shibor回落，下降26.9个基点，报2.491%；7天Shibor下降3.8个基点，报2.785%；14天Shibor上涨2.6个基点，报2.981%。　　“受银行业突发事件影响，银行间流动性边际收紧。”有分析人士对《证券日报》记者表示，首先，突发事件或打破同业存单刚兑预期，加剧中小银行流动性压力；其次，各家金融机构将大概率加大同业拆借、质押式回购等业务风控审查，需要一定时间重塑传统业务标准；最后，银行作为许多非银机构流动性的重要来源，常常被非银机构视作流动性的“最后保障”，银行业的突发事件对非银机构流动性管理冲击十分显著。　　该分析人士认为，央行近三日的大额投放稳定市场预期，避免恐慌情绪蔓延，为化解突发事件风险提供了坚实基础。　　此外，中信证券固定收益首席分析师明明在接受本报记者采访时表示，今年以来，货币政策总体稳健、中性，流动性也整体,6/8/19,8/20/19,6,whatever,6/8/19,6/8/19 16:55,3,博迈科,6-8
837,37645,600030.SH,中信证券,央行连续三天开展逆回购 净投放4000亿元↵,记者 刘　琪　　上周，为对冲税期高峰、政府债券发行缴款等因素的影响，维护银行体系流动性合理充裕，央行于5月21日、22日以利率招标方式分别展开了800亿元和200亿元的逆回购操作。5月23日、24日，央行表示银行体系流动性总量处于合理充裕水平，不开展逆回购。　　在暂停两天逆回购后，本周一央行便开启逆回购操作，且在周二、周三连续开展逆回购，逆回购金额不断加码。具体来看，5月27日，央行以利率招标方式开展,记者 刘　琪　　上周，为对冲税期高峰、政府债券发行缴款等因素的影响，维护银行体系流动性合理充裕，央行于5月21日、22日以利率招标方式分别展开了800亿元和200亿元的逆回购操作。5月23日、24日，央行表示银行体系流动性总量处于合理充裕水平，不开展逆回购。　　在暂停两天逆回购后，本周一央行便开启逆回购操作，且在周二、周三连续开展逆回购，逆回购金额不断加码。具体来看，5月27日，央行以利率招标方式开展了800亿元7天逆回购；5月28日，央行表示为对冲逆回购到期等因素等影响，维护银行体系流动性合理充裕，以利率招标方式开展了1500亿元7天逆回购；5月29日，央行表示为维护银行体系流动性合理充裕，以利率招标方式开展了2700亿元7天逆回购。三天逆回购中标利率均为2.55%。　　与此同时，5月28日和5月29日，分别有800亿元和200亿元的7天逆回购到期，故本周以来截至周三，央行净投放达4000亿元。　　在上海银行间同业拆放利率（Shinbor）方面，5月28日继续上涨，涨幅缓慢。具体来看，隔夜Shibor上涨9.4个基点，报2.76%；7天Shibor上涨11.2个基点，报2.823%；14天Shibor上涨15.2个基点，报2.955%。5月29日，隔夜Shibor回落，下降26.9个基点，报2.491%；7天Shibor下降3.8个基点，报2.785%；14天Shibor上涨2.6个基点，报2.981%。　　“受银行业突发事件影响，银行间流动性边际收紧。”有分析人士对《证券日报》记者表示，首先，突发事件或打破同业存单刚兑预期，加剧中小银行流动性压力；其次，各家金融机构将大概率加大同业拆借、质押式回购等业务风控审查，需要一定时间重塑传统业务标准；最后，银行作为许多非银机构流动性的重要来源，常常被非银机构视作流动性的“最后保障”，银行业的突发事件对非银机构流动性管理冲击十分显著。　　该分析人士认为，央行近三日的大额投放稳定市场预期，避免恐慌情绪蔓延，为化解突发事件风险提供了坚实基础。　　此外，中信证券固定收益首席分析师明明在接受本报记者采访时表示，今年以来，货币政策总体稳健、中性，流动性也整体,6/8/19,8/20/19,6,whatever,6/8/19,6/8/19 16:55,4,恒力股份,6-8
838,37646,600808.SH,马钢股份,提高上市公司质量 需要“三板斧”↵,今日视点：提高上市公司质量 需要“三板斧”　　日前，证监会主席易会满在接受记者采访时表示，上市公司质量是资本市场的支撑和基石，提高上市公司质量是一项宏大的系统工程，需要上市公司、监管者、投资者和市场各参与方的共同努力。　　在美国对中国制造产品加征关税越来越烈的今天，易会满主席的此番表态为中国经济的领头羊，即中国上市公司寻求新发展规划了新的路径。伴随着外部市场的不确定性日益增加，上市公司必须加大创新力度，提高自主研发能力，不断提高产品的市场竞争力，实现企业长期可持续发展。不光如此，,今日视点：提高上市公司质量 需要“三板斧”　　日前，证监会主席易会满在接受记者采访时表示，上市公司质量是资本市场的支撑和基石，提高上市公司质量是一项宏大的系统工程，需要上市公司、监管者、投资者和市场各参与方的共同努力。　　在美国对中国制造产品加征关税越来越烈的今天，易会满主席的此番表态为中国经济的领头羊，即中国上市公司寻求新发展规划了新的路径。伴随着外部市场的不确定性日益增加，上市公司必须加大创新力度，提高自主研发能力，不断提高产品的市场竞争力，实现企业长期可持续发展。不光如此，上市公司更要苦练内功，继续在推动经济和自身高质量发展中发挥好“头雁效应”。　　提高上市公司质量，要从以下三方面努力。　　创新是提高上市公司质量的第一要务。透视中国证券市场29年来的发展历程不难发现，从主板公司到中小板公司再到创业板公司，乃至于即将亮相的科创板公司，创新始终贯穿其中。　　正是受益于证券市场的大力支持，上市公司才能将更多的资金投入到新产品、新技术的研发之中。如今耳熟能详名扬天下的5G技术、中国高铁、中国家电等一张张代表着“中国制造”的崭新名片，都缺不了投资者的携手支持。　　与此相反的案例也很直白，个别公司在上市之后不思进取，产品“老三样”缺乏创新，跟不上时代前进的步伐，其结果就是如今走到保壳退市的地步。　　并购是提高上市公司质量的第二要务。从国内外企业的发展历程看，上市公司要想做大做强，并购是一道迈不过去的坎。6月2日，马钢股份（600808）发布公告称，安徽省国资委将持有的马钢集团51%股权无偿划转至中国宝武，这无疑将推动中国宝武成为“全球钢铁业引领者”的远大愿景，进一步打造钢铁领域世界级的技术创新、产业投资和资本运营平台。正是类似的并购越来越多，中国上市公司的整体质量得到了不断的提升。　　国际化是提高上市公司质量的第三要务。尽管近期中美贸易摩擦给国内上市公司的国际化布局带来了些许影响，但是我们不能因噎废食，减缓国内上市公司进军国际市场的步伐，反倒是应该鞭策上市公司更深地融入国际市场，使得国际市场对国内上市公司的依赖性加深。上市公司要在练好内功的基础上，积极寻求与国际各类企业的合作机会，共享市场、共享机会。　　目前，证监会正在抓紧研究制定提高上市公司质量行动计划。希望通过3年到5年的努力，引导上市公司经营更加稳健，运作更加规范，信披更加真实有效，主业更加突出，创新能力和核心竞争力不断增强，投资者回报机制持续优化，使上市公司质量有较大提升。我们相信，通过上市公司、监管者、投资者和市场各参与方的共同努力，玩转提高上市公司质量的“三板斧”，国内上市公司会迎来发,6/8/19,8/20/19,6,whatever,6/8/19,6/8/19 16:55,5,万润科技,6-8
839,37647,600030.SH,中信证券,中信证券：基本面数据仍显疲弱 通胀或迎年内最高点↵,宏观|基本面数据仍显疲弱，通胀或迎来年内最高点：5月经济金融数据前瞻　　中信证券研究 　　文丨诸建芳 刘博阳　　5月经济基本面料仍保持较弱水平，尽管地产和基建仍稳，但制造业将形成拖累，预期工业增加值和投资增速均难有显著改善，环比基本持平上月。受此影响，信贷需求偏弱，信贷和社融难有显著高增，社融增速预计为10.5%，环比略增0.1个百分点。物价方面，CPI在猪价持续上涨下或达年内高点，PPI则仍有望维持正增长。　　▍工业：高频数据涨跌互现，预计工业增加值增速继续维持低位。　　5月高炉开工率环比进一步上抬，基本均在70%左右运行，而根据Mysteel数据，粗钢产量增速亦保持较好水平，或与5月地产新开工和施工表现良好相关,宏观|基本面数据仍显疲弱，通胀或迎来年内最高点：5月经济金融数据前瞻　　中信证券研究 　　文丨诸建芳 刘博阳　　5月经济基本面料仍保持较弱水平，尽管地产和基建仍稳，但制造业将形成拖累，预期工业增加值和投资增速均难有显著改善，环比基本持平上月。受此影响，信贷需求偏弱，信贷和社融难有显著高增，社融增速预计为10.5%，环比略增0.1个百分点。物价方面，CPI在猪价持续上涨下或达年内高点，PPI则仍有望维持正增长。　　▍工业：高频数据涨跌互现，预计工业增加值增速继续维持低位。　　5月高炉开工率环比进一步上抬，基本均在70%左右运行，而根据Mysteel数据，粗钢产量增速亦保持较好水平，或与5月地产新开工和施工表现良好相关。但另一方面，六大电厂发电耗煤量同比增长-18.9%，显著回落（4月为-5.3%），尽管有去年同期高基数等因素，但整体表现依然不尽人意。综合我们对整体制造业投资和对出口的景气程度的判断，预计工业增加值5月增速仍将维持低位，预期为5.5%。　　▍投资：地产和基建仍有支撑，固定资产投资增速预计为6.2%。　　从高频数据观察，粗钢产量、新开工面积和施工增速、土拍热度等均保持较好水平，因此地产投资短期仍将维持较高水平（料5月仍有两位数增速），从而拉动整体固定资产投资维持近期增速；从基建来看，我们判断持续的环比修复仍将继续，但受限于资金端，环比改善幅度料将有限；从制造业来看，5月整体压力凸显，其中受经贸摩擦扰动显著，结合PMI等指标，我们判断其仍将保持低位运行，综合看预计固定资产投资增速较上月环比小幅改善0.1个百分点，或为6.2%。　　▍消费：五一小长假将带动消费增长环比显著回升。　　5月消费受到假期因素的影响预计将出现同比和环比的改善。主要因素有以下两点：1）“五一”小长假恢复使今年5月假期天数较去年同期有所增加，带动5月消费增长；2）“五一”假期后移至5月内促使消费同步后移，去年五一假期中2天在4月，而今年假期从5月才开始。同时预计汽车消费受到国五国六切换的影响持续拖累整体消费，但跌幅可能略微收窄。整体看预计5月社会消费品零售总额同比增速为8.9%。　　▍进出口：内外需求偏弱叠加加税升级拖累进出口增速。　　5月内外需求表现仍然偏弱，中国5月制造业PMI再次回落到荣枯线下至49.4%；而美国PMI持续回落，欧日目前也仍然都处于荣枯线下。预计需求偏弱叠加加税冲击使得5月出口金额增速将进一步回落至-5%，进口增速为-2%（美元计）。　　▍物价水平：CPI或涨至年内最高点，PPI仍将维持上涨。　　5月猪价环比继续上升，前期产能去化已经对价格有持续助推作用。另一方面，农业农村部数据显示5月鲜菜价格环比继续回落，但同样是基数原因或推升CPI鲜菜价格同比继续上涨。考虑到去年同期的低基数，食品价格将是推升通胀升至年内高点的最主要因素。非食品方面，4、5月经济基本面的疲弱将仍然制约非食品价格有明显回温。综合来看，我们认为5月CPI同比或涨至2.8%左右，为年内最高值。而工业品层面，我们认为5月PPI环比将较前值0.3%出现显著下降，同比增速或为0.4%左右。　　▍金融数据：预计M2持平前月，社融增速环比微增至10.5%。　　社融方面，我们预计社融增速较上月小幅回升0.1个百分点至10.5%，而当月新增或为1.18万亿，高于去年同期0.95万亿的水平。同时，5月整,6/8/19,8/20/19,6,whatever,6/8/19,6/8/19 16:55,6,共进股份,6-8
840,37648,600030.SH,中信证券,加快推进并购重组市场化进程 专家建议设立并购基金↵,6月2日，证监会主席易会满在接受媒体采访时表示，证监会将进一步优化并购重组制度，推进定向可转债并购等试点常态化，让更多符合国家发展战略、有利于强化自主创新实力和核心竞争力的“好资产”加快注入上市公司，推动“市场、科技、资本”高效融合。　　“预计，未来上市公司并购重组有望向进一步市场化方向推进。”中信证券研究所首席政策分析师杨帆接受《证券日报》记者采访时表示，未来并购重组的支付工具也有望更加多元化，例如，鼓励发展私募股权基金、定向可转债、并购基金等。　　杨帆认为，并购重组的后续行动或可参考2019年5月10日发布的《深圳证券交易所上市公司信息披露指引第3号—重大资产重组,6月2日，证监会主席易会满在接受媒体采访时表示，证监会将进一步优化并购重组制度，推进定向可转债并购等试点常态化，让更多符合国家发展战略、有利于强化自主创新实力和核心竞争力的“好资产”加快注入上市公司，推动“市场、科技、资本”高效融合。　　“预计，未来上市公司并购重组有望向进一步市场化方向推进。”中信证券研究所首席政策分析师杨帆接受《证券日报》记者采访时表示，未来并购重组的支付工具也有望更加多元化，例如，鼓励发展私募股权基金、定向可转债、并购基金等。　　杨帆认为，并购重组的后续行动或可参考2019年5月10日发布的《深圳证券交易所上市公司信息披露指引第3号—重大资产重组》：一方面要简政放权，如删减原重组停复牌相关规定、简化重组方案报送材料及披露要求、对中介机构核查要求给予适度弹性、优化重组“冷淡期”安排等；另一方面也要补齐规则短板，如完善内幕信息防控机制、细化并购重组委会议停复牌安排、强化重组实施的持续监管、明确终止筹划重组的审议程序和披露要求、增强重组监管约束机制等。　　今年以来，并购重组回暖明显，截至5月28日，2019年上市公司正在进行中的并购事项有1438件，而在2018年同期，这一数字则为536件，2017年同期这一数字则为573件。　　杨帆认为，并购重组回暖与监管层在深化并购重组市场化改革方面密集出台的多项政策措施有很大关系。例如：优化审核流程，提高审核效率。推出“小额快速”审核机制，针对不构成重大资产重组的小额并购交易，简化程序、快速审核，同时，优化“分道制”审核安排，将新一代信息技术等国家重点创新领域产业纳入“豁免/快速”通道产业类型等。　　“并购重组是上市公司开展资本运作和现代化经营的重要方式，也是培育行业龙头、促进企业做大做强的重要途径。”国信证券高级研究员张立超接受《证券日报》记者采访时表示，积极推进并购重组有助于整合上市公司、淘汰落后产能，提升企业经营管理的质量。　　张立超表示，未来，可以从三方面进一步支持上市公司以并购重组方式促进经济结构转型。　　一是支持企业以并购重组促产业升级。支持和引导企业通过整体上市、定向增发、资产收购等形式开展并购重组，对以促进行业整合、结构转型和产业升级为目标的并购重组推出快速审核通道，简化审批流程。推动中概股通过上市公司并购重组回归A股，在先进制造、信息技术、能源、基建、消费品、医疗、文化教育等领域释放“一带一路”沿线跨境并购新动能。　　二是加快设立并购基金。鼓励有条件的企业、投资机构和上市公司发起设立并购基金，探索政府引导资金参与并购基金的设立和运作，集聚社会资本；同时，将并购基金监管与上市公司监管结合起来，明确并购基金管理人责任，强化信息披露，完善诸如溢价出售股权、挂牌转让、资产证券化等并购基金投资人的退出渠道。　　三是充分发挥资本市场作用。鼓励符合条件的上市公司通过公开或定向增发、公司债券、企业债券、可转换债券、并购重组私募债券等方式开展并购重组，以发行优先股、定向发行可转换债券作为兼并重组支付方式；支持证券公司、资产管理公司、创业投资公司、股权投资基金、产业投资基金等机构参与上市公司,6/8/19,8/20/19,6,whatever,6/8/19,6/8/19 16:55,7,庄园牧场,6-8
